ListingKey,ListingNumber,ListingCreationDate,ListingCreationTime,AMPM,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,GroupKey,DateCreditPulled,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,LoanKey,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationDate,LoanOriginationQuarter,MemberKey,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors
4BE1358534532344530413A,852741,7/27/13,9:16:16,AM,Past Due (1-15 days),,0.31032,0.2712,0.2612,0.2382,0.1275,0.1107,2,E,2,1,FL,Administrative Assistant,Employed,33,FALSE,FALSE,,7/27/13 9:15,640,659,6/1/83 0:00,8,8,20,9,254,3,6,2,671,0,0,0,5814,0.47,5078,15,0.88,0,0.24,"$25,000-49,999",TRUE,2416.666667,8C823689038501139F0EDAD,1,14,14,0,0,4000,2869.63,-68,10,,8,97444,4000,7/30/13 0:00,Q3 2013,9A7F354570700524080329A,163.56,981.36,459.89,521.47,-19.23,0,0,0,0,1,0,0,0,18
63B735559335533143904E3,630437,8/28/12,2:50:57,PM,Past Due (1-15 days),,0.33665,0.2969,0.2869,0.2738,0.1475,0.1263,2,E,3,1,MA,Other,Employed,42,TRUE,FALSE,,8/28/12 14:50,620,639,12/1/90 0:00,8,8,20,4,767,5,7,0,0,0,1,0,108084,0.9,515,20,0.6,2,0.18,"$100,000+",TRUE,13416.66667,3BB43660473762205D248B4,1,6,6,0,0,15000,13084.06,-82,3,,18,73575,8000,9/7/12 0:00,Q3 2012,5ADF35381735246187A5FB7,338.26,5750.42,2919.52,2830.9,-95.35,0,0,0,0,1,0,0,0,5
287335868517070214398AA,861741,8/6/13,1:00:53,PM,FinalPaymentInProgress,,0.13697,0.1089,0.0989,0.0956,0.0299,0.0657,6,A,8,2,MO,Accountant/CPA,Full-time,399,FALSE,FALSE,,8/6/13 13:00,760,779,6/1/88 0:00,14,13,29,9,199,0,2,0,0,0,1,0,2250,0.25,6700,29,1,0,0.34,"$25,000-49,999",TRUE,4105,2CA636892189009449128EB,3,23,23,0,0,22500,0,32,0,,7,97971,7500,8/8/13 0:00,Q3 2013,6D5D34779956282242A4219,245.15,1468.6623,1083.76,384.9023,-35.56,0,0,0,0,1,0,0,0,1
2AC73547088151541842E49,589597,5/16/12,6:59:26,AM,Past Due (91-120 days),,0.28704,0.261,0.251,0.2448,0.099,0.1458,3,D,3,1,MN,Religious,Employed,9,FALSE,FALSE,,5/4/12 8:33,660,679,7/9/03 0:00,9,9,24,6,431,2,4,2,1017,0,0,0,17649,0.77,5083,16,1,2,0.64,"$25,000-49,999",TRUE,2291.666667,DB713651873631982ECF5A7,3,53,52,1,0,15723,4502.03,18,112,,22,65908,8900,5/18/12 0:00,Q2 2012,60853412030852348382C14,267,4539,1621.48,2917.52,-24.02,-21.36,0,0,0,1,0,0,0,122
45D03568239386348F6972E,695277,1/7/13,11:37:20,AM,Past Due (16-30 days),,0.35356,0.3134,0.3034,0.276,0.1575,0.1185,1,HR,6,1,NY,Other,Other,209,FALSE,FALSE,,1/7/13 11:37,640,659,9/3/05 0:00,9,9,16,7,427,0,5,0,0,0,0,0,17139,0.71,6702,15,1,1,1.31,"$1-24,999",TRUE,966.666667,31FD3671406370883E56C3F,1,12,12,0,0,10000,7460.04,-25,29,,14,81682,4000,1/9/13 0:00,Q1 2013,B5AF35345733574568B4EE6,172.76,2073.12,949.77,1123.35,-35.83,0,0,0,0,1,0,0,0,87
04BC3576369380568A6EE89,764283,4/30/13,4:41:13,AM,Past Due (1-15 days),,0.20462,0.1679,0.1579,0.1487,0.0599,0.0888,5,B,4,2,MO,Skilled Labor,Employed,88,TRUE,FALSE,,4/30/13 4:41,720,739,5/12/06 0:00,9,8,12,5,256,1,2,0,0,0,0,0,6574,0.69,1159,11,0.81,1,0.18,"$50,000-74,999",TRUE,4711.166667,A6AE368036366354204E597,1,10,10,0,0,4000,2917.88,53,9,,10,89497,3000,5/1/13 0:00,Q2 2013,A2F83547360443428A2E4C5,106.64,944.76,595.79,348.97,-20.77,0,0,0,0,1,0,0,0,1
2D133589199580424C37DC2,899885,9/12/13,7:36:42,PM,Past Due (61-90 days),,0.2533,0.2155,0.2055,0.18917,0.0975,0.09167,3,D,7,1,MO,Other,Other,33,TRUE,FALSE,,9/12/13 19:36,660,679,12/12/00 0:00,20,19,29,14,782,0,3,0,0,0,0,0,38838,0.49,6840,28,0.92,0,0.59,"$25,000-49,999",TRUE,3453,2AF33693957282168CD02E8,1,10,10,0,0,5000,3907.41,,84,,6,101570,10000,9/16/13 0:00,Q3 2013,EF6D35594036118597FB9E3,379.58,753.2559,402.72,350.5359,-16.54,0,0,0,0,1,0,0,0,1
4107354728069052899026A,588256,5/11/12,10:21:42,AM,FinalPaymentInProgress,,0.18316,0.1469,0.1369,0.1346,0.042,0.0926,5,B,7,1,CT,Analyst,Employed,3,TRUE,FALSE,,5/11/12 10:21,680,699,3/15/98 0:00,12,5,38,3,174,3,6,1,2480,0,0,0,9695,0.82,2051,31,0.93,0,0.08,"$100,000+",TRUE,9583.333333,1F99365153559553593F070,1,8,8,0,0,5000,0,-5,0,,22,65807,3100,5/18/12 0:00,Q2 2012,77F13433460076071048AEE,106.99,2246.79,1639.62,607.17,-41.3,0,0,0,0,1,0,0,0,49
64E7357790745139055807E,759547,4/23/13,1:13:18,PM,Past Due (1-15 days),,0.17754,0.1414,0.1314,0.1252,0.0449,0.0803,5,B,8,1,FL,Computer Programmer,Employed,166,FALSE,FALSE,,4/23/13 13:13,760,779,2/2/96 0:00,13,11,38,9,231,1,6,0,0,0,0,0,6484,0.48,6685,32,0.84,1,0.16,"$100,000+",TRUE,16250,4F60368156019502210052E,1,35,33,2,0,5000,0,54,13,,11,88806,35000,4/25/13 0:00,Q2 2013,0D0E3410935637574A911E4,1198.6,10757.4,6988.2,3769.2,-249.69,-1013.71,0,0,0,1,0,0,0,1
4ADC35757195816096438B3,745322,4/7/13,7:07:01,PM,Past Due (31-60 days),,0.3179,0.2786,0.2686,0.2447,0.1325,0.1122,2,E,3,2,GA,Postal Service,Employed,226,FALSE,FALSE,,4/7/13 17:08,620,639,7/8/89 0:00,11,9,34,6,94,2,3,0,0,1,0,0,144,0.13,565,31,0.68,2,0.36,"$50,000-74,999",TRUE,4666.666667,E99C3679331691298226BA2,4,101,92,9,0,20100,3266.2,-15,60,,11,87950,3000,4/9/13 0:00,Q2 2013,2EEF339634430728476C62B,123.86,990.88,468.26,522.62,-18.77,0,0,0,0,1,0,0,0,45
03CD3537030916339E83C2D,552458,1/18/12,4:50:25,PM,Past Due (1-15 days),,0.28339,0.2449,0.2349,0.2291,0.105,0.1241,3,D,2,1,NC,Truck Driver,Employed,83,TRUE,FALSE,,1/18/12 16:50,660,679,12/5/91 0:00,13,10,27,5,150,1,14,1,0,0,1,0,9965,0.39,4784,26,0.96,3,0.26,"$50,000-74,999",TRUE,5166.666667,646436419439927128514A1,1,10,10,0,0,7000,5587.01,-6,11,,26,59643,10000,1/27/12 0:00,Q1 2012,8865350743861200065EF4A,394.91,9477.84,5830.5,3647.34,-148.93,0,0,0,0,1,0,0,0,169
2B863536971244791A974C0,551317,1/13/12,3:28:18,PM,Past Due (91-120 days),,0.20358,0.1845,0.1745,0.1715,0.052,0.1195,5,B,6,2,FL,Professional,Full-time,61,FALSE,FALSE,,1/13/12 15:28,640,659,11/1/85 0:00,8,8,35,8,165,1,6,0,0,1,1,0,4478,0.52,3807,32,0.56,1,0.12,"$25,000-49,999",TRUE,3750,3A7D36412339675030C3A39,2,44,44,0,0,4900,1616.75,-5,112,,26,59057,8000,1/18/12 0:00,Q1 2012,BC4333652312485913F79AC,205.11,4307.31,2016.2,2291.11,-124.19,0,0,0,0,1,0,0,0,33
8E2B3542125245135B0643D,568188,3/12/12,11:21:06,PM,FinalPaymentInProgress,,0.22456,0.1874,0.1774,0.1733,0.065,0.1083,4,C,3,3,LA,Construction,Self-employed,66,TRUE,TRUE,3D4D3366260257624AB272D,3/12/12 23:21,740,759,10/8/98 0:00,12,9,39,5,621,2,8,0,0,0,0,0,79450,0.52,24263,36,1,1,,"$100,000+",FALSE,15000,017E3644814680745EB1960,3,42,42,0,0,57499,0.01,72,0,,24,62028,15000,3/15/12 0:00,Q1 2012,165833653511869374FBBD1,547.87,19037.22,14993.71,4043.51,-214.28,0,0,0,0,1,0,0,0,224
04923561109324719898BBB,662314,10/29/12,11:18:27,AM,Past Due (31-60 days),,0.28848,0.2624,0.2524,0.232,0.1025,0.1295,3,D,2,1,NC,Teacher,Employed,350,FALSE,FALSE,,10/29/12 11:18,660,679,8/24/78 0:00,9,9,44,2,51,0,1,0,0,1,0,0,1769,0.97,27,29,0.96,3,0.48,"$50,000-74,999",TRUE,5250,716636668791397516CDA72,1,10,10,0,0,6000,4764.73,-10,60,,16,77454,15000,11/9/12 0:00,Q4 2012,6FE635331170096718EC034,451.24,5866.12,1836.9,4029.22,-153.54,0,0,0,0,1,0,0,0,180
059735803267045299FD349,792818,5/31/13,9:03:00,AM,FinalPaymentInProgress,,0.25371,0.2159,0.2059,0.1903,0.0899,0.1004,4,C,3,1,NY,Nurse (RN),Employed,157,TRUE,FALSE,,5/31/13 9:02,660,679,2/1/91 0:00,17,16,35,15,2012,2,8,0,0,0,0,0,341836,0.88,6256,31,1,3,0.18,"$100,000+",TRUE,14000,38DD368449054177473B125,1,11,11,0,0,15000,11158.34,-7,0,,9,92116,15000,6/4/13 0:00,Q2 2013,422835498864604453DF737,569.68,6548.5674,4467.58,2080.9874,-96.81,0,0,0,0,1,0,0,0,1
428335322535845777F185E,540654,11/23/11,9:32:03,AM,Past Due (1-15 days),,0.2924,0.2537,0.2437,0.2377,0.105,0.1327,3,D,5,1,NM,Executive,Employed,352,TRUE,TRUE,8E5A3365665729204E57173,11/23/11 9:31,660,679,2/1/91 0:00,22,18,59,12,338,1,9,0,0,0,0,0,8385,0.75,1352,35,0.83,2,0.21,"$100,000+",TRUE,9666.666667,23AA36370261242620B9A36,2,47,44,3,0,8000,3863.25,33,10,,28,56646,8500,11/30/11 0:00,Q4 2011,4AE03403399514199091F0A,339.62,8785.12,5335.66,3449.46,-133.97,-115.48,0,0,0,1,2,0,0,112
056B3549081841861A70680,594649,5/31/12,7:21:51,AM,Past Due (91-120 days),,0.28704,0.261,0.251,0.2448,0.099,0.1458,3,D,5,1,FL,Administrative Assistant,Employed,81,FALSE,FALSE,,5/31/12 7:21,640,659,3/4/06 0:00,10,10,18,9,356,0,4,0,0,0,0,0,10155,0.96,50,16,1,0,0.37,"$25,000-49,999",TRUE,3500,444636527444177508121A8,2,18,18,0,0,8500,6216.55,1,99,,21,67213,12500,6/1/12 0:00,Q2 2012,C6393499626409377B49C12,375,6425,2259.51,4165.49,-84.81,0,0,0,0,1,0,0,0,57
95B3350963063986401023B,496158,3/1/11,3:06:32,PM,FinalPaymentInProgress,,0.25424,0.2199,0.2099,0.2048,0.098,0.1068,3,D,5,3,WI,Construction,Self-employed,89,TRUE,FALSE,,2/8/11 16:51,740,759,12/1/03 0:00,17,17,34,16,374,0,5,0,0,0,0,0,10886,0.37,16631,32,1,1,,"$25,000-49,999",FALSE,2500,785F36145420490850948DC,1,24,24,0,0,10000,0.03,53,0,,36,47676,7500,3/10/11 0:00,Q1 2011,EA3C3375909623775B28769,286.39,10023.65,7204.61,2819.04,-128.18,0,0,0,0,1,0,0,0,117
755A3577126510685AABF79,759334,4/23/13,10:19:59,AM,Past Due (91-120 days),,0.20081,0.1769,0.1669,0.1575,0.0574,0.1001,5,B,6,1,MO,Professional,Employed,37,FALSE,FALSE,,4/13/13 17:42,720,739,11/12/99 0:00,7,6,27,5,328,0,3,0,0,0,0,0,7137,0.36,7129,26,1,0,0.58,"$25,000-49,999",TRUE,2583.333333,789D36815811063660EF8E8,1,9,9,0,0,13000,12009.83,8,100,,11,89022,10000,4/30/13 0:00,Q2 2013,14E2355100491353845E539,252.25,1513.5,650.25,863.25,-48.8,0,0,0,0,1,0,0,0,166
0EB735556229102355D8696,626877,8/21/12,4:05:53,AM,Past Due (31-60 days),,0.21025,0.1734,0.1634,0.1597,0.0624,0.0973,4,C,5,1,FL,Professional,Employed,5,FALSE,FALSE,,8/21/12 4:05,700,719,7/1/97 0:00,7,4,47,3,189,0,1,0,0,0,0,0,6020,0.85,701,19,0.78,0,0.77,"$25,000-49,999",TRUE,4000,F15236605679216965E6D6F,1,9,9,0,0,10000,8173.52,-18,38,,19,73191,15000,8/31/12 0:00,Q3 2012,090A352788018830103496F,537.33,8624.15,5098.77,3525.38,-157.7,-887.98,0,0,0,1,0,0,0,102
98DF3549949618436021F99,604482,6/26/12,2:22:11,PM,Past Due (1-15 days),,0.28704,0.261,0.251,0.2448,0.099,0.1458,3,D,4,1,MD,Teacher,Employed,322,FALSE,FALSE,,6/26/12 14:22,620,639,12/27/98 0:00,11,11,27,16,366,1,4,1,29,8,0,0,8906,0.66,775,25,0.32,0,0.15,"$75,000-99,999",TRUE,7083.333333,CAC0365523327176247B94A,1,35,35,0,0,8500,0.01,22,5,,20,69132,13000,7/5/12 0:00,Q3 2012,18C03415614453153A17B11,390,7449,2350.2,5098.8,-193.85,-198.9,0,0,0,1,0,0,0,11
2C563583929932906C90906,830733,7/7/13,9:58:24,PM,FinalPaymentInProgress,,0.3179,0.2786,0.2686,0.2447,0.1325,0.1122,2,E,2,1,DC,Sales - Commission,Employed,8,FALSE,FALSE,,7/7/13 21:27,620,639,3/1/98 0:00,8,7,21,4,531,4,10,0,0,0,0,0,22911,0.47,24839,15,0.87,2,0.23,"$100,000+",TRUE,8750,A2E23688801742459B85DA6,1,9,5,4,0,20000,17826.4,-124,0,,8,95867,4000,7/18/13 0:00,Q3 2013,604335539785502876B20D1,165.15,1589.1468,993.68,595.4668,-21.47,0,0,0,0,1,0,0,0,1
4B813571610984748FE1565,722308,3/2/13,4:32:34,PM,Past Due (1-15 days),,0.17522,0.1519,0.1419,0.135,0.0474,0.0876,5,B,7,3,NC,Sales - Commission,Employed,102,TRUE,FALSE,,3/2/13 16:32,660,679,6/24/91 0:00,24,22,88,3,96,0,11,0,0,12,1,0,3472,0.99,40,61,0.88,0,0.23,"$100,000+",TRUE,10000,D3F43676073179165179DBE,1,16,16,0,0,5000,3343.14,0,4,,12,85800,21657,3/6/13 0:00,Q1 2013,2E5035271088907945FF2D8,517.38,5691.18,2830.14,2861.04,-188.34,0,0,0,0,1,0,0,0,21
393735659437558815B85B8,691945,12/28/12,8:14:33,PM,Past Due (1-15 days),,0.15833,0.1299,0.1199,0.1148,0.0399,0.0749,6,A,5,1,WY,Other,Self-employed,392,TRUE,FALSE,,12/28/12 20:14,780,799,2/1/93 0:00,9,8,17,7,70,1,7,0,0,0,0,0,1565,0.04,31037,17,0.76,0,,"$25,000-49,999",FALSE,3333.333333,2B1236713746654278F4EEE,1,11,11,0,0,10000,7699.01,-35,7,,14,80462,10000,1/3/13 0:00,Q1 2013,BC6435337227736622D0EAE,336.89,4379.57,3128.96,1250.61,-95,-57.27,0,0,0,1,0,0,0,122
31A1359221376397048BFB5,956596,10/22/13,5:37:00,PM,FinalPaymentInProgress,,0.13799,0.1099,0.0999,0.09653,0.0299,0.06663,6,A,11,6,TX,Other,Employed,117,TRUE,FALSE,,10/22/13 17:37,660,679,5/1/91 0:00,4,3,22,2,182,0,2,0,1432,9,0,0,123,0.24,377,18,0.88,0,0.05,"$50,000-74,999",TRUE,5250,8760369566052428159381B,2,15,15,0,0,7100,0,,0,,5,108058,2000,10/24/13 0:00,Q4 2013,1F343520751421604A98BAF,65.47,261.2778,190.45,70.8278,-6.51,0,0,0,0,1,0,0,0,1
62173586477250903CEF552,866762,8/11/13,2:23:22,PM,Past Due (31-60 days),,0.26877,0.2432,0.2332,0.2148,0.0975,0.1173,3,D,2,13,CA,Professional,Employed,38,TRUE,FALSE,,8/11/13 14:23,680,699,10/28/92 0:00,6,5,51,3,96,6,12,14,45726,42,1,0,1760,0.88,240,42,0.67,2,0.18,"$75,000-99,999",TRUE,7812.5,9CA93690023796580286F01,1,6,6,0,0,13000,12240.14,-51,56,,7,98753,10000,8/13/13 0:00,Q3 2013,CF3A3568101312830690F2D,289.54,1191.497,260.89,930.607,-24.99,-53.47,0,0,0,1,0,0,0,1
385B3584861717585BBEF92,839065,7/14/13,4:25:54,AM,Past Due (91-120 days),,0.29537,0.2566,0.2466,0.2254,0.1175,0.1079,3,D,6,18,PA,Analyst,Employed,4,FALSE,FALSE,,7/14/13 4:21,620,639,2/14/90 0:00,7,5,11,3,70,0,11,0,0,0,0,0,14710,0.9,1549,10,1,1,0.11,"$75,000-99,999",TRUE,6666.666667,29B036883733015089AE62D,1,12,12,0,0,4000,3539.94,-28,108,,8,96197,5000,7/22/13 0:00,Q3 2013,C2E035326369855750BBA5F,200.55,601.65,284.16,317.49,-12.38,0,0,0,0,1,0,0,0,51
2E1D3578355987167C1253A,766700,5/4/13,5:10:55,AM,Past Due (61-90 days),,0.29341,0.2672,0.2572,0.2355,0.1125,0.123,3,D,2,2,NH,Construction,Employed,251,TRUE,FALSE,,5/4/13 5:10,660,679,7/31/06 0:00,3,3,9,1,25,0,1,0,0,8,0,0,476,0.7,199,5,1,1,0.29,"$25,000-49,999",TRUE,2916.666667,39B136821773219304370AE,1,9,9,0,0,4000,3322.99,-30,90,,10,90205,10000,5/10/13 0:00,Q2 2013,89283551812358462D5DBAA,303.68,1822.08,502.58,1319.5,-49.39,0,0,0,0,1,0,0,0,100
08463596661822865402B96,1050424,12/11/13,9:41:08,PM,FinalPaymentInProgress,,0.16324,0.1274,0.1174,0.1121,0.0424,0.0697,5,B,9,7,AK,Military Officer,Employed,107,FALSE,FALSE,,12/11/13 21:41,700,719,9/25/05 0:00,11,9,21,6,818,0,2,0,0,0,0,0,28083,0.99,248,20,1,1,0.3,"$100,000+",TRUE,8583.333333,9F553701695703602B42BB0,1,10,9,1,0,2000,0.01,,0,,3,122158,2000,12/16/13 0:00,Q4 2013,40563559591971762AE83D5,67.14,2054.12,2000,54.12,-4.25,0,0,0,0,1,0,0,0,1
